Word,HAL Freq,Log_Freq,Category,LengthChars
advice,"44,488",10.703,High,6
apple,"65,844",11.095,High,5
basis,"48,314",10.785,High,5
body,"116,235",11.663,High,4
degree,"42,088",10.648,High,6
device,"49,124",10.802,High,6
driver,"69,007",11.142,High,6
father,"38,034",10.546,High,6
feeling,"37,377",10.529,High,7
format,"79,019",11.277,High,6
future,"90,741",11.416,High,6
justice,"31,679",10.363,High,7
kernel,"33,865",10.43,High,6
letter,"58,299",10.973,High,6
level,"130,029",11.776,High,5
market,"98,850",11.501,High,6
model,"66,839",11.11,High,5
money,"209,588",12.253,High,5
mother,"42,113",10.648,High,6
nature,"51,563",10.851,High,6
number,"283,001",12.553,High,6
object,"52,354",10.866,High,6
party,"68,745",11.138,High,5
police,"48,000",10.779,High,6
power,"187,656",12.142,High,5
primer,"35,025",10.464,High,6
product,"102,292",11.536,High,7
project,"89,569",11.403,High,7
report,"90,838",11.417,High,6
series,"90,751",11.416,High,6
story,"96,953",11.482,High,5
title,"79,977",11.289,High,5
unit,"42,634",10.66,High,4
water,"105,961",11.571,High,5
woman,"66,489",11.105,High,5
adder,351,5.861,Low,5
aloe,304,5.717,Low,4
beaker,406,6.006,Low,6
beret,436,6.078,Low,5
caret,296,5.69,Low,5
cassock,13,2.565,Low,7
casters,218,5.384,Low,7
chanter,272,5.606,Low,7
dingo,334,5.811,Low,5
dipper,236,5.464,Low,6
docket,326,5.787,Low,6
ethyl,466,6.144,Low,5
fable,314,5.749,Low,5
fiddler,438,6.082,Low,7
follies,304,5.717,Low,7
forage,298,5.697,Low,6
foyer,334,5.811,Low,5
galley,470,6.153,Low,6
gallup,469,6.151,Low,6
gander,441,6.089,Low,6
garnet,458,6.127,Low,6
pauper,131,4.875,Low,6
probate,684,6.528,Low,7
propane,798,6.682,Low,7
rabble,310,5.737,Low,6
racket,671,6.509,Low,6
radish,139,4.934,Low,6
realty,408,6.011,Low,6
respite,282,5.642,Low,7
tallow,92,4.522,Low,6
tizzy,119,4.779,Low,5
vigor,712,6.568,Low,5
viscount,207,5.333,Low,8
wafer,795,6.678,Low,5
yonder,291,5.673,Low,6
acorn,"8,301",9.024,Medium,5
alley,"3,011",8.01,Medium,5
armor,"13,211",9.489,Medium,5
asset,"4,255",8.356,Medium,5
axis,"4,865",8.49,Medium,4
bacon,"3,147",8.054,Medium,5
badger,"1,586",7.369,Medium,6
baker,"12,645",9.445,Medium,5
berry,"2,897",7.971,Medium,5
bias,"9,171",9.124,Medium,4
descent,"6,882",8.837,Medium,7
elite,"8,214",9.014,Medium,5
encore,"2,173",7.684,Medium,6
excuse,"19,298",9.868,Medium,6
expense,"10,514",9.26,Medium,7
expert,"19,795",9.893,Medium,6
farmer,"5,026",8.522,Medium,6
fiction,"19,200",9.863,Medium,7
gallon,"3,694",8.214,Medium,6
garden,"11,220",9.325,Medium,6
gender,"11,021",9.308,Medium,6
glasses,"8,546",9.053,Medium,7
goddess,"5,486",8.61,Medium,7
gravel,"2,399",7.783,Medium,6
hero,"15,998",9.68,Medium,4
hobby,"7,899",8.974,Medium,5
hockey,"12,193",9.409,Medium,6
holly,"4,146",8.33,Medium,5
honey,"9,093",9.115,Medium,5
hornet,"3,738",8.226,Medium,6
import,"12,606",9.442,Medium,6
insect,"2,539",7.84,Medium,6
intent,"13,020",9.474,Medium,6
jacket,"10,208",9.231,Medium,6
jelly,"2,029",7.615,Medium,5
jungle,"5,505",8.613,Medium,6
latter,"17,819",9.788,Medium,6
lemur,"3,598",8.188,Medium,5
marker,"3,755",8.231,Medium,6
mayor,"4,322",8.371,Medium,5
mercy,"5,983",8.697,Medium,5
notion,"10,664",9.275,Medium,6
offense,"8,046",8.993,Medium,7
panel,"19,722",9.889,Medium,5
parent,"14,797",9.602,Medium,6
rebel,"8,135",9.004,Medium,5
reflex,"1,291",7.163,Medium,6
resin,"1,314",7.181,Medium,5
sister,"17,160",9.75,Medium,6
sterling,"5,592",8.629,Medium,8
sticker,"4,594",8.433,Medium,7
surgeon,"2,683",7.895,Medium,7
tactic,"3,312",8.105,Medium,6
tiger,"5,393",8.593,Medium,5
timber,"4,325",8.372,Medium,6
tractor,"1,609",7.383,Medium,7
trailer,"4,296",8.365,Medium,7
treaty,"7,163",8.877,Medium,6
tribute,"3,239",8.083,Medium,7
trio,"2,865",7.96,Medium,4
tunnel,"7,452",8.916,Medium,6
tutor,"5,385",8.591,Medium,5
twister,"6,117",8.719,Medium,7
vapor,"3,263",8.09,Medium,5
village,"13,243",9.491,Medium,7
vortex,"4,330",8.373,Medium,6
whiskey,"1,364",7.218,Medium,7
winner,"11,890",9.383,Medium,6
wizard,"12,369",9.423,Medium,6
worker,"7,057",8.862,Medium,6
